,school_name,school_addr,latitude,longitude,1_stu_num,2_stu_num,3_stu_num,4_stu_num,5_stu_num,6_stu_num
1284,대구관남초등학교,대구광역시 북구 칠곡중앙대로91길 10,35.9369109,128.54796399999998, 73 , 85 , 67 , 65 , 71 , 95 
1285,대구강북초등학교,대구광역시 북구 구암서로 50,35.9408343,128.56678200000002, 147 , 154 , 161 , 145 , 165 , 198 
1286,대구운암초등학교,대구광역시 북구 대천로 148,35.9358673,128.5656283, 108 , 124 , 102 , 107 , 140 , 141 
1287,대구구암초등학교,대구광역시 북구 학정로 245,35.92807120000001,128.55747759999997, 68 , 62 , 65 , 73 , 81 , 102 
1288,대구신암초등학교,대구광역시 북구 경대로 21,35.8840647,128.6124293, 157 , 145 , 131 , 104 , 129 , 115 
1289,대구매천초등학교,대구광역시 북구 매천로 179,35.9130048,128.5415391, 69 , 66 , 56 , 70 , 69 , 73 
1290,대구문성초등학교,대구광역시 북구 복현로 180,35.9055506,128.6207575, 96 , 89 , 107 , 100 , 112 , 134 
1291,대구복현초등학교,대구광역시 북구 공항로 58,35.8975855,128.6216057, 144 , 121 , 123 , 140 , 133 , 125 
1292,대구경진초등학교,대구광역시 북구 경진로12길 5,35.8921138,128.6172863, 20 , 22 , 24 , 15 , 28 , 32 
1293,북대구초등학교,대구광역시 북구 동북로37길 68,35.9031501,128.6095652, 82 , 99 , 83 , 69 , 83 , 88 
1294,대구산격초등학교,대구광역시 북구 산격로10길 14,35.8942078,128.6068497, 72 , 61 , 94 , 74 , 58 , 98 
1295,대구대산초등학교,대구광역시 북구 신천동로 900,35.89690510000001,128.5935228, 30 , 29 , 38 , 24 , 29 , 41 
1296,대구교동초등학교,대구광역시 북구 관음중앙로34길 4,35.9447886,128.5494463, 46 , 44 , 50 , 35 , 44 , 66 
1297,대구칠곡초등학교,대구광역시 북구 칠곡중앙대로110길 5,35.9450018,128.55190729999998, 106 , 96 , 110 , 88 , 94 , 74 
1298,대구대천초등학교,대구광역시 북구 구암로21길 54,35.9370783,128.5542177, 61 , 81 , 62 , 59 , 79 , 89 
1299,대구옥산초등학교,대구광역시 북구 칠성시장로23길 55,35.88133449999999,128.5983163, 129 , 131 , 121 , 112 , 104 , 109 
1300,대구칠성초등학교,대구광역시 북구 침산남로32길 17,35.8867234,128.5939142, 265 , 274 , 274 , 249 , 271 , 274 
