,school_name,1_stu_num,2_stu_num,3_stu_num,4_stu_num,5_stu_num,6_stu_num
5492,점촌북초등학교, 15 , 9 , 6 , 9 , 5 , 11 
5493,점촌중앙초등학교, 17 , 13 , 12 , 14 , 17 , 16 
5494,호계초등학교, 14 , 12 , 10 , 13 , 8 , 10 
5495,호서남초등학교, 86 , 126 , 92 , 100 , 120 , 128 
5496,삼성현초등학교, 205 , 165 , 133 , 159 , 125 , 137 
5497,경산초등학교, 59 , 56 , 60 , 60 , 70 , 77 
5498,경산동부초등학교, 87 , 98 , 73 , 88 , 89 , 105 
5499,경산서부초등학교, 82 , 98 , 80 , 65 , 77 , 98 
5500,경산중앙초등학교, 47 , 47 , 42 , 50 , 37 , 52 
5501,계당초등학교, 5 , 8 , 7 , 8 , 4 , 15 
5502,금락초등학교, 94 , 117 , 99 , 106 , 107 , 128 
5503,남산초등학교, 23 , 18 , 9 , 15 , 24 , 17 
5504,남성초등학교, 10 , 14 , 14 , 13 , 20 , 16 
5505,남천초등학교, 25 , 21 , 19 , 18 , 13 , 23 
5506,다문초등학교, 12 , 13 , 9 , 8 , 4 , 6 
5507,대동초등학교, 5 , 3 , 7 , 1 , 5 , 6 
5508,부림초등학교, 40 , 38 , 48 , 44 , 45 , 56 
5509,봉황초등학교, 122 , 116 , 112 , 120 , 117 , 122 
5510,사동초등학교, 118 , 152 , 109 , 109 , 127 , 145 
5511,성암초등학교, 201 , 145 , 114 , 100 , 77 , 59 
5512,경산압량초등학교, 239 , 204 , 166 , 128 , 115 , 103 
5513,옥곡초등학교, 210 , 224 , 254 , 240 , 234 , 261 
5514,와촌초등학교, 6 , 8 , 13 , 15 , 12 , 8 
5515,용성초등학교, 11 , 7 , 9 , 4 , 14 , 13 
5516,임당초등학교, 22 , 22 , 21 , 14 , 23 , 16 
5517,자인초등학교, 18 , 23 , 9 , 23 , 18 , 17 
5518,장산초등학교, 86 , 99 , 101 , 97 , 111 , 120 
5519,정평초등학교, 181 , 172 , 157 , 153 , 163 , 155 
5520,진량초등학교, 95 , 86 , 82 , 74 , 98 , 75 
5521,진성초등학교, 26 , 28 , 20 , 29 , 22 , 33 
5522,청천초등학교, 14 , 7 , 8 , 9 , 12 , 16 
5523,평산초등학교, 217 , 211 , 209 , 183 , 181 , 198 
5524,하양초등학교, 134 , 114 , 139 , 125 , 122 , 134 
5525,하주초등학교, 12 , 8 , 10 , 13 , 10 , 16 
5526,현흥초등학교, 31 , 23 , 29 , 30 , 29 , 40 
5527,하양초등학교화성분교장, - , - , 1 , 3 , 2 , 1 
5528,고매초등학교, 4 , 6 , 4 , 6 , 1 , 3 
5529,군위초등학교, 65 , 53 , 47 , 37 , 62 , 51 
5530,부계초등학교, 7 , 6 , 13 , 3 , 5 , 11 
5531,의흥초등학교석산분교장, 1 , 1 , 1 , 1 , 2 , - 
5532,송원초등학교, 1 , 2 , 1 , 8 , 3 , 3 
5533,우보초등학교, - , 2 , 2 , - , 3 , 4 
5534,의흥초등학교, 3 , 6 , 9 , 10 , 12 , 11 
5535,효령초등학교, 6 , 3 , - , 8 , 5 , 7 
5536,가음초등학교, 3 , 1 , 3 , 3 , - , 3 
5537,구천초등학교, 2 , 1 , 2 , 1 , - , 1 
5538,금성초등학교, 14 , 12 , 13 , 8 , 15 , 11 
5539,다인초등학교, 3 , 4 , 4 , 10 , 9 , 8 
5540,단촌초등학교, - , 4 , 3 , 5 , 5 , 9 
5541,도리원초등학교, 10 , 10 , 17 , 17 , 16 , 12 
5542,단밀초등학교, 3 , 4 , 1 , 3 , 6 , 3 
5543,이두초등학교쌍호분교장, - , - , - , - , - , - 
5544,안계초등학교, 32 , 31 , 21 , 28 , 34 , 32 
5545,안평초등학교, 2 , 2 , 3 , 8 , 9 , 3 
5546,옥전초등학교, 3 , 4 , 8 , 1 , 1 , 8 
5547,안평초등학교신평분교장, - , 2 , 1 , - , 1 , 1 
5548,의성초등학교, 82 , 84 , 77 , 89 , 78 , 90 
5549,의성남부초등학교, 12 , 13 , 13 , 16 , 19 , 13 
5550,의성북부초등학교, 2 , 4 , 3 , 3 , 6 , 4 
5551,이두초등학교, 4 , 1 , 2 , 1 , 2 , 4 
5552,점곡초등학교, 3 , - , 2 , 1 , 4 , 1 
5553,춘산초등학교, 2 , - , 2 , 3 , 4 , 8 
5554,도평초등학교, 6 , 13 , 6 , 4 , 9 , 9 
5555,부남초등학교, 3 , 2 , 3 , 6 , 4 , 4 
5556,안덕초등학교, 13 , 11 , 6 , 8 , 8 , 12 
5557,이전초등학교, 4 , 6 , 2 , 5 , 3 , 4 
5558,진보초등학교, 40 , 38 , 23 , 19 , 31 , 27 
5559,청송초등학교, 38 , 27 , 41 , 38 , 28 , 38 
5560,파천초등학교, 6 , 6 , 7 , 7 , 10 , 8 
5561,화목초등학교, 5 , 9 , 9 , 8 , 12 , 10 
5562,석보초등학교, 6 , 6 , 9 , 8 , 2 , 6 
5563,수비초등학교, 4 , 3 , 4 , 8 , 8 , 6 
5564,영양초등학교, 34 , 35 , 40 , 34 , 53 , 55 
5565,영양중앙초등학교, 17 , 20 , 20 , 11 , 15 , 19 
5566,일월초등학교, 5 , 5 , 7 , 3 , 6 , 6 
5567,입암초등학교, 3 , 8 , 7 , 6 , 11 , 5 
5568,일월초등학교청기분교장, 1 , 3 , 3 , 5 , 1 , 2 
5569,강구초등학교, 19 , 19 , 28 , 18 , 33 , 36 
5570,남정초등학교, 2 , 5 , 6 , 7 , 2 , 4 
5571,병곡초등학교, 6 , 3 , 7 , 2 , 9 , 4 
5572,영덕야성초등학교, 103 , 100 , 102 , 102 , 78 , 102 
5573,영해초등학교, 38 , 38 , 45 , 37 , 31 , 54 
5574,원황초등학교, 1 , 2 , 7 , 3 , 2 , 3 
5575,지품초등학교, 4 , 3 , 1 , 3 , 5 , 6 
5576,창수초등학교, - , 7 , 1 , 1 , 4 , 5 
5577,창수초등학교인천분교장, 1 , - , 3 , 1 , 2 , 4 
5578,축산항초등학교, - , 6 , 2 , 3 , 7 , 3 
5579,축산항초등학교경정분교장, - , 2 , 1 , 2 , 1 , 3 
5580,각남초등학교, 5 , 6 , 8 , 6 , 7 , 8 
5581,금천초등학교, 12 , 8 , 10 , 14 , 12 , 12 
5582,남성현초등학교, 11 , 7 , 7 , 5 , 6 , 7 
5583,덕산초등학교, 7 , 2 , 2 , 2 , 4 , 1 
5584,동산초등학교, 9 , 6 , 10 , 9 , 5 , 10 
5585,유천초등학교, 1 , 3 , 1 , 3 , 4 , 4 
5586,이서초등학교, 12 , 9 , 18 , 20 , 23 , 26 
5587,청도초등학교, 88 , 95 , 84 , 84 , 82 , 101 
5588,청도중앙초등학교, 16 , 14 , 14 , 18 , 17 , 21 
5589,풍각초등학교, 7 , 19 , 18 , 18 , 20 , 16 
5590,화양초등학교, 15 , 4 , 5 , 6 , 1 , 18 
5591,개진초등학교, 7 , 4 , 4 , 3 , 2 , 4 
5592,고령초등학교, 82 , 69 , 67 , 78 , 90 , 73 
5593,다산초등학교, 66 , 67 , 74 , 72 , 71 , 97 
5594,덕곡초등학교, 5 , 4 , 3 , 5 , 6 , 7 
5595,박곡초등학교, 5 , - , 9 , 3 , 3 , 6 
5596,성산초등학교, 5 , 5 , 4 , 10 , 7 , 8 
5597,쌍림초등학교, 12 , 5 , 10 , 12 , 12 , 9 
5598,우곡초등학교, 5 , 2 , 5 , 5 , 6 , 6 
5599,운수초등학교, 1 , - , 1 , 3 , 2 , 6 
5600,가천초등학교, 5 , 5 , 5 , 7 , 6 , 3 
5601,대가초등학교, 6 , 3 , 4 , 10 , 2 , 8 
5602,대동초등학교, 4 , 5 , - , 5 , 1 , 5 
5603,도원초등학교, 5 , 6 , 4 , 5 , 10 , 5 
5604,벽진초등학교, 6 , 8 , 5 , 6 , 11 , 6 
5605,초전초등학교봉소분교장, - , 5 , - , 1 , 2 , 1 
5606,선남초등학교, 10 , 9 , 5 , 8 , 10 , 8 
5607,성주초등학교, 90 , 77 , 85 , 93 , 90 , 88 
5608,성주중앙초등학교, 30 , 37 , 39 , 43 , 42 , 46 
5609,수륜초등학교, 8 , 10 , 8 , 13 , 5 , 10 
5610,용암초등학교, 5 , 3 , 4 , 7 , 7 , 5 
5611,월항초등학교, 3 , 8 , 3 , 7 , 8 , 7 
5612,월항초등학교지방분교장, 3 , 5 , 3 , 2 , 4 , 4 
